frame.len,ip.len,ip.ttl,ip.proto,ip.version,tcp.srcport,tcp.dstport,tcp.len,tcp.seq,tcp.flags.ack,tcp.flags.fin,tcp.flags.reset,tcp.window_size,udp.srcport,udp.dstport,udp.length,dns.qry.type,dns.flags.response,dns.flags.recdesired,alert
74,60,64,6,4,42886,1720,0,0,0,0,0,64240,,,,,,,suspicious
74,60,64,6,4,44030,3306,0,0,0,0,0,64240,,,,,,,suspicious
74,60,64,6,4,53752,21,0,0,0,0,0,64240,,,,,,,suspicious
54,40,64,6,4,1720,42886,0,1,1,0,1,0,,,,,,,suspicious
74,60,64,6,4,59008,993,0,0,0,0,0,64240,,,,,,,suspicious
54,40,64,6,4,3306,44030,0,1,1,0,1,0,,,,,,,suspicious
74,60,64,6,4,41168,139,0,0,0,0,0,64240,,,,,,,suspicious
74,60,64,6,4,54050,3389,0,0,0,0,0,64240,,,,,,,suspicious
54,40,64,6,4,21,53752,0,1,1,0,1,0,,,,,,,suspicious
54,40,64,6,4,993,59008,0,1,1,0,1,0,,,,,,,suspicious
74,60,64,6,4,43746,443,0,0,0,0,0,64240,,,,,,,suspicious
74,60,64,6,4,45030,135,0,0,0,0,0,64240,,,,,,,suspicious
74,60,64,6,4,139,41168,0,0,1,0,0,5792,,,,,,,suspicious
54,40,64,6,4,3389,54050,0,1,1,0,1,0,,,,,,,suspicious
74,60,64,6,4,46682,110,0,0,0,0,0,64240,,,,,,,suspicious
74,60,64,6,4,38040,995,0,0,0,0,0,64240,,,,,,,suspicious
74,60,64,6,4,443,43746,0,0,1,0,0,5792,,,,,,,suspicious
74,60,64,6,4,39894,143,0,0,0,0,0,64240,,,,,,,suspicious
54,40,64,6,4,135,45030,0,1,1,0,1,0,,,,,,,suspicious
54,40,64,6,4,110,46682,0,1,1,0,1,0,,,,,,,suspicious
74,60,64,6,4,53766,20554,0,0,0,0,0,64240,,,,,,,suspicious
74,60,64,6,4,36926,52054,0,0,0,0,0,64240,,,,,,,suspicious
54,40,64,6,4,995,38040,0,1,1,0,1,0,,,,,,,suspicious
74,60,64,6,4,55856,42609,0,0,0,0,0,64240,,,,,,,suspicious
74,60,64,6,4,143,39894,0,0,1,0,0,5792,,,,,,,suspicious
54,40,64,6,4,20554,53766,0,1,1,0,1,0,,,,,,,suspicious
54,40,64,6,4,52054,36926,0,1,1,0,1,0,,,,,,,suspicious
54,40,64,6,4,42609,55856,0,1,1,0,1,0,,,,,,,suspicious
74,60,64,6,4,36488,18361,0,0,0,0,0,64240,,,,,,,suspicious
66,52,64,6,4,45298,445,0,1,1,0,1,64512,,,,,,,suspicious
74,60,64,6,4,50308,24344,0,0,0,0,0,64240,,,,,,,suspicious
74,60,64,6,4,41736,752,0,0,0,0,0,64240,,,,,,,suspicious
74,60,64,6,4,52618,4266,0,0,0,0,0,64240,,,,,,,suspicious
74,60,64,6,4,43730,32764,0,0,0,0,0,64240,,,,,,,suspicious
66,52,64,6,4,41168,139,0,1,1,0,0,64512,,,,,,,suspicious
66,52,64,6,4,43746,443,0,1,1,0,0,64512,,,,,,,suspicious
54,40,64,6,4,18361,36488,0,1,1,0,1,0,,,,,,,suspicious
66,52,64,6,4,39894,143,0,1,1,0,0,64512,,,,,,,suspicious
54,40,64,6,4,24344,50308,0,1,1,0,1,0,,,,,,,suspicious
54,40,64,6,4,752,41736,0,1,1,0,1,0,,,,,,,suspicious
74,60,64,6,4,42360,37629,0,0,0,0,0,64240,,,,,,,suspicious
54,40,64,6,4,4266,52618,0,1,1,0,1,0,,,,,,,suspicious
54,40,64,6,4,32764,43730,0,1,1,0,1,0,,,,,,,suspicious
74,60,64,6,4,40034,39038,0,0,0,0,0,64240,,,,,,,suspicious
54,40,64,6,4,37629,42360,0,1,1,0,1,0,,,,,,,suspicious
